labels,images
CNV,data/train/CNV/CNV-451136-177.jpeg
CNV,data/train/CNV/CNV-6652117-103.jpeg
CNV,data/train/CNV/CNV-445726-65.jpeg
CNV,data/train/CNV/CNV-6215140-132.jpeg
CNV,data/train/CNV/CNV-4884577-2.jpeg
CNV,data/train/CNV/CNV-2724152-131.jpeg
CNV,data/train/CNV/CNV-1702663-23.jpeg
CNV,data/train/CNV/CNV-3976600-8.jpeg
CNV,data/train/CNV/CNV-1997439-101.jpeg
CNV,data/train/CNV/CNV-172472-96.jpeg
CNV,data/train/CNV/CNV-2725524-93.jpeg
CNV,data/train/CNV/CNV-172183-1.jpeg
CNV,data/train/CNV/CNV-8972369-4.jpeg
CNV,data/train/CNV/CNV-2192440-4.jpeg
CNV,data/train/CNV/CNV-697731-11.jpeg
CNV,data/train/CNV/CNV-482704-8.jpeg
CNV,data/train/CNV/CNV-1693687-1.jpeg
CNV,data/train/CNV/CNV-1390155-14.jpeg
CNV,data/train/CNV/CNV-5457415-33.jpeg
CNV,data/train/CNV/CNV-9911627-32.jpeg
CNV,data/train/CNV/CNV-6581164-204.jpeg
CNV,data/train/CNV/CNV-4732594-161.jpeg
CNV,data/train/CNV/CNV-8518028-2.jpeg
CNV,data/train/CNV/CNV-7315522-12.jpeg
CNV,data/train/CNV/CNV-1982250-35.jpeg
CNV,data/train/CNV/CNV-364469-164.jpeg
CNV,data/train/CNV/CNV-6294785-13.jpeg
CNV,data/train/CNV/CNV-5760454-7.jpeg
CNV,data/train/CNV/CNV-6569286-5.jpeg
CNV,data/train/CNV/CNV-4002052-5.jpeg
CNV,data/train/CNV/CNV-4921376-43.jpeg
CNV,data/train/CNV/CNV-172472-234.jpeg
CNV,data/train/CNV/CNV-9374492-194.jpeg
CNV,data/train/CNV/CNV-4643364-34.jpeg
CNV,data/train/CNV/CNV-2444883-92.jpeg
CNV,data/train/CNV/CNV-7531689-59.jpeg
CNV,data/train/CNV/CNV-6732486-7.jpeg
CNV,data/train/CNV/CNV-7710023-209.jpeg
CNV,data/train/CNV/CNV-103044-180.jpeg
CNV,data/train/CNV/CNV-2128644-16.jpeg
CNV,data/train/CNV/CNV-2120559-50.jpeg
CNV,data/train/CNV/CNV-995513-95.jpeg
CNV,data/train/CNV/CNV-4974377-85.jpeg
CNV,data/train/CNV/CNV-7860515-1.jpeg
CNV,data/train/CNV/CNV-1305450-52.jpeg
CNV,data/train/CNV/CNV-6314049-13.jpeg
CNV,data/train/CNV/CNV-9997680-214.jpeg
CNV,data/train/CNV/CNV-7710023-32.jpeg
CNV,data/train/CNV/CNV-7656403-134.jpeg
CNV,data/train/CNV/CNV-8986660-31.jpeg
CNV,data/train/CNV/CNV-7555604-158.jpeg
CNV,data/train/CNV/CNV-1279887-173.jpeg
CNV,data/train/CNV/CNV-1699976-324.jpeg
CNV,data/train/CNV/CNV-2091427-3.jpeg
CNV,data/train/CNV/CNV-364469-138.jpeg
CNV,data/train/CNV/CNV-4952759-26.jpeg
CNV,data/train/CNV/CNV-987193-17.jpeg
CNV,data/train/CNV/CNV-2026176-12.jpeg
CNV,data/train/CNV/CNV-5697282-5.jpeg
CNV,data/train/CNV/CNV-2116022-7.jpeg
CNV,data/train/CNV/CNV-7159021-47.jpeg
CNV,data/train/CNV/CNV-8833506-166.jpeg
CNV,data/train/CNV/CNV-5557306-117.jpeg
CNV,data/train/CNV/CNV-9238054-44.jpeg
